Groups:
card[7:0] =, card[7], card[6], card[5], card[4], card[3], card[2], card[1], card[0], ,
LCD_inst/DOUT[7:0] =, LCD_inst/DOUT[7], LCD_inst/DOUT[6], LCD_inst/DOUT[5], LCD_inst/DOUT[4], LCD_inst/DOUT[3], LCD_inst/DOUT[2], LCD_inst/DOUT[1], LCD_inst/DOUT[0], ,
ran[10:0] =, ran[10], ran[9], ran[8], ran[7], ran[6], ran[5], ran[4], ran[3], ran[2], ran[1], ran[0], ,
reg_a[8:0] =, reg_a[8], reg_a[7], reg_a[6], reg_a[5], reg_a[4], reg_a[3], reg_a[2], reg_a[1], reg_a[0], ,

Data:
time unit: us, card[7:0], card[7], card[6], card[5], card[4], card[3], card[2], card[1], card[0], LCD_inst/DOUT[7:0], LCD_inst/DOUT[7], LCD_inst/DOUT[6], LCD_inst/DOUT[5], LCD_inst/DOUT[4], LCD_inst/DOUT[3], LCD_inst/DOUT[2], LCD_inst/DOUT[1], LCD_inst/DOUT[0], ran[10:0], ran[10], ran[9], ran[8], ran[7], ran[6], ran[5], ran[4], ran[3], ran[2], ran[1], ran[0], reg_a[8:0], reg_a[8], reg_a[7], reg_a[6], reg_a[5], reg_a[4], reg_a[3], reg_a[2], reg_a[1], reg_a[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
54, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
55, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
56, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
57, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
58, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
59, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
60, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
61, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
62, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
63, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
64, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
65, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
66, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
67, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
68, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
69, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
70, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
71, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
72, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
73, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
74, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
75, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
76, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
77, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
78, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
79, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
80, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
81, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
82, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
83, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
84, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
85, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
86, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
87, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
88, 36, 0, 0, 1, 1, 0, 1, 1, 0, 36, 0, 0, 1, 1, 0, 1, 1, 0, 526, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0D5, 0, 1, 1, 0, 1, 0, 1, 0, 1,
